model,sample_size,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
linear_svm,50,0.9400000000000001,0.1341640786499874,0.9493333333333333,0.11329411085998939
linear_svm,100,0.99,0.02236067977499793,0.9862857142857143,0.030666075119997194
linear_svm,200,0.9949999999999999,0.011180339887498962,0.9959540229885058,0.00904707963310255
linear_svm,400,1.0,0.0,1.0,0.0
linear_svm,800,1.0,0.0,1.0,0.0
logreg_l1,50,1.0,0.0,1.0,0.0
logreg_l1,100,1.0,0.0,1.0,0.0
logreg_l1,200,0.99,0.013693063937629143,0.9872518019614794,0.01884308341266625
logreg_l1,400,0.9974999999999999,0.005590169943749467,0.9978627808136004,0.004778967383606121
logreg_l1,800,0.9987577639751553,0.00277772419565191,0.9989421487603305,0.002365427281983178
random_forest,50,1.0,0.0,1.0,0.0
random_forest,100,0.99,0.022360679774997918,0.9916190476190476,0.01874037923999819
random_forest,200,0.99,0.013693063937629191,0.9912655086848636,0.011960194804082974
random_forest,400,0.9949999999999999,0.011180339887498926,0.9958488855930459,0.009282173996328417
random_forest,800,0.9937888198757763,0.004391967585009623,0.9947385337201702,0.0037801794741702615
