gene,selected,max_abs_coef
gene_15895,True,0.03229475622856182
gene_11903,True,0.029826715943231115
gene_15898,True,0.028948618747231668
gene_15896,True,0.02824009831435821
gene_15899,True,0.02606715354688729
gene_15591,True,0.02584471853269038
gene_15161,True,0.02539394695246825
gene_17801,True,0.02519774596843619
gene_10460,True,0.024522375908397894
gene_15900,True,0.02400932160281555
gene_7964,True,0.02385844606508391
gene_5578,True,0.023160447536912113
gene_15894,True,0.022382820647565103
gene_9544,True,0.02228655859050241
gene_11550,True,0.021433865153893707
gene_8904,True,0.021269995691015054
gene_13639,True,0.02093380931374508
gene_19542,True,0.02072161476827981
gene_17394,True,0.02034875193457009
gene_15999,True,0.020333268374747054
gene_3523,True,0.019754835022777688
gene_6748,True,0.01949940112542235
gene_5830,True,0.019301967954927602
gene_15897,True,0.019141292181876105
gene_15577,True,0.019082898777457488
gene_2747,True,0.019044593521234603
gene_9175,True,0.019014320571803845
gene_18619,True,0.018997760893255493
gene_6611,True,0.018954625242226138
gene_2506,True,0.0187128419478448
gene_6876,True,0.018690371828113016
gene_11352,True,0.018638145432085782
gene_2910,True,0.01862558155814134
gene_18135,True,0.018514074350258865
gene_5027,True,0.018449939979639313
gene_3695,True,0.018316417678131885
gene_2037,True,0.018246532536892564
gene_3836,True,0.018206344933856318
gene_9176,True,0.01809726632541675
gene_12333,True,0.018030686256332494
gene_357,True,0.017888442739394675
gene_9178,True,0.01769982760286039
gene_13976,True,0.017693649909067397
gene_9652,True,0.017631941263005307
gene_5829,True,0.01760055717717501
gene_19648,True,0.017599632726954435
gene_12013,True,0.017577012564328382
gene_11349,True,0.017500423905764544
gene_10098,True,0.01736905766377485
gene_8594,True,0.0173588028563193
